Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
,Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,
GLA 220 CDI 7G-DCT (156),5,125  (170),V,37336,,,,18050,16500,14600,,,,
GLA 220 d 4MATIC 7G-DCT (156),5,125  (170),V,41602,26750,,,,,,,,,
GLA 220 d 7G-DCT (156),5,125  (170),V,39389,25300,,,,,,,,,
GLA 220 d 4MATIC 7G-DCT (156),5,130  (177),V,39710,,21200,20100,18750,,,,,,
GLA 220 d 7G-DCT (156),5,130  (177),V,37497,,20050,18950,17700,,,,,,
GLA 220 d 4MATIC 7G-DCT (156),5,130  (177),V,40686,24300,21900,,,,,,,,
GLA 220 d 7G-DCT (156),5,130  (177),V,38473,22950,20700,,,,,,,,
GLA 45 AMG 4MATIC SPEEDSHIFT DCT 7G-,5,265  (360),IV,56168,,,,28500,26200,,,,,
TRONIC (156) AMG,,,,,,,,,,,,,,
GLA 45 AMG 4MATIC SPEEDSHIFT DCT 7G-,5,280  (381),IV,56347,,34100,31400,28500,,,,,,
TRONIC (156) AMG,,,,,,,,,,,,,,
GLA 45 AMG 4MATIC SPEEDSHIFT DCT 7G-,5,280  (381),IV,56852,37300,33650,,,,,,,,
TRONIC (156) AMG,,,,,,,,,,,,,,
GLC Coupé 250 4MATIC 9G-TRONIC (253),5,155  (211),V,50492,37450,34600,30900,,,,,,,
GLC 250 4MATIC 9G-TRONIC (253),5,155  (211),V,45791,31650,29150,27050,24150,,,,,,
GLC Coupé 300 4MATIC 9G-TRONIC (253),5,180  (245),V,55668,40650,36300,32400,,,,,,,
GLC 300 4MATIC 9G-TRONIC (253),5,180  (245),V,50224,34350,31750,28350,,,,,,,
GLC Coupé 220 d 4MATIC 9G-TRONIC (253),5,125  (170),VI,51027,38700,34550,30850,,,,,,,
GLC 220 d 4MATIC 9G-TRONIC (253),5,125  (170),VI,46327,30600,27350,25400,22700,,,,,,
GLC Coupé 250 d 4MATIC 9G-TRONIC (253),5,150  (204),VI,52336,40700,36300,32450,,,,,,,
GLC 250 d 4MATIC 9G-TRONIC (253),5,150  (204),VI,47874,32250,29400,27050,24150,,,,,,
GLC Coupé 350 d 4MATIC 9G-TRONIC (253),5,190  (258),VI,58762,46000,40700,36350,,,,,,,
GLC Coupé 350 e 4MATIC 7G-TRONIC PLUS (253),5,235  (320),V,58227,42850,38250,34150,,,,,,,
GLC 350 e 4MATIC 7G-TRONIC PLUS (253),5,235  (320),V,53110,37350,33850,30200,,,,,,,
GLC Coupé 43 AMG 4MATIC (253) AMG,5,270  (367),V,66997,48750,43750,39050,,,,,,,
GLC 43 AMG 4MATIC 9G-TRONIC (253) AMG,5,270  (367),V,63368,45700,40800,36450,,,,,,,
GLC Coupé 63 AMG 4MATIC+ SPEEDSHIFT MCT,5,350  (476),V,86335,61500,55700,,,,,,,,
(253) AMG,,,,,,,,,,,,,,
GLC 63 AMG 4MATIC+ SPEEDSHIFT MCT (253),5,350  (476),V,82705,60150,53700,,,,,,,,
AMG,,,,,,,,,,,,,,
GLC Coupé 63 S AMG 4MATIC+ SPEEDSHIFT MCT,5,375  (510),V,95141,67800,61450,,,,,,,,
(253) AMG,,,,,,,,,,,,,,
GLC 63 S AMG 4MATIC+ SPEEDSHIFT MCT (253),5,375  (510),V,91511,65550,59450,,,,,,,,
AMG,,,,,,,,,,,,,,
GLE 400 4MATIC 7G-TRONIC PLUS (166),5,245  (333),VI,65510,41950,37950,34550,31700,,,,,,
GLE 450 AMG 4MATIC 9G-TRONIC PLUS (166),5,270  (367),VI,69734,,,41000,37100,,,,,,
GLE 500 4MATIC 7G-TRONIC PLUS (166),5,320  (435),VI,76874,,,,36950,,,,,,
GLE 500 4MATIC 9G-TRONIC (166),5,335  (455),VI,82289,50350,44200,40600,37400,,,,,,
GLE 250 d 4MATIC 9G-TRONIC (166),5,150  (204),VII,61285,36800,32600,30000,27400,,,,,,
GLE 250 d 9G-TRONIC (166),5,150  (204),VII,58489,35000,31050,28550,26100,,,,,,
GLE 350 d 4MATIC 9G-TRONIC (166),5,190  (258),VII,65331,38600,34700,32000,29300,,,,,,
GLE 500 e 4MATIC 7G-TRONIC PLUS (166),5,325  (442),VI,78481,47250,41450,38250,35400,,,,,,
GLE 43 AMG 4MATIC 9G-TRONIC (166) AMG,5,270  (367),VI,70389,,44800,41000,,,,,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 90 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
Mercedes,,,,,,,,,,,,,,
GLE 63 AMG 4MATIC SPEEDSHIFT PLUS 7G-,5,410  (558),VI,117096,71550,64750,56900,52450,,,,,,
TRONIC (166) AMG,,,,,,,,,,,,,,
GLE 63 S AMG 4MATIC SPEEDSHIFT PLUS 7G-,5,430  (585),VI,127509,77600,70200,61450,56500,,,,,,
TRONIC (166) AMG,,,,,,,,,,,,,,
GLE 450 4MATIC 9G-TRONIC (167),5,286  (389),VI,72650,51200,,,,,,,,,
GLE 300 d 4MATIC 9G-TRONIC (167),5,180  (245),VII,65807,46450,,,,,,,,,
GLE 350 d 4MATIC 9G-TRONIC (167),5,200  (272),VII,69496,51400,,,,,,,,,
GLE 400 d 4MATIC 9G-TRONIC (167),5,243  (330),VII,76101,57400,,,,,,,,,
GLE Coupé 400 4MATIC 9G-TRONIC (292),5,245  (333),VI,72233,49750,45450,41100,37350,,,,,,
GLE Coupé 450 AMG 4MATIC 9G-TRONIC (292),5,270  (367),VI,75803,,,45250,41650,,,,,,
GLE Coupé 500 4MATIC 9G-TRONIC (292),5,335  (455),VI,89607,55600,50050,46250,42450,,,,,,
GLE Coupé 350 d 4MATIC 9G-TRONIC (292),5,190  (258),VII,71698,47400,43500,40100,36700,,,,,,
GLE Coupé 43 AMG 4MATIC 9G-TRONIC (292) AMG,5,270  (367),VI,77112,,49500,45650,,,,,,,
GLE Coupé 63 AMG 4MATIC SPEEDSHIFT PLUS,5,410  (558),VI,121916,74800,68400,62750,58300,,,,,,
7G-TRONIC (292) AMG,,,,,,,,,,,,,,
GLE Coupé 63 S AMG 4MATIC SPEEDSHIFT PLUS,5,430  (585),VI,132685,80200,73700,67650,62500,,,,,,
7G-TRONIC (292) AMG,,,,,,,,,,,,,,
GLK 200  (204),5,135  (184),V,37485,,,,18900,16600,14700,,,,
GLK 250 7G-TRONIC PLUS (204),5,155  (211),V,42364,,,,21900,18700,16550,,,,
GLK 350 4MATIC 7G-TRONIC PLUS (204),5,225  (306),V,52360,,,,25100,22000,19100,16350,,,
GLK 200 CDI  (204),5,105  (143),VI,37426,,,,17900,15550,13600,11700,,,
GLK 220 CDI 4MATIC 7G-TRONIC PLUS (204),5,125  (170),VI,44149,,,,20750,18300,16050,13800,,,
GLK 220 CDI BlueTEC 4MATIC 7G-TRONIC PLUS,5,125  (170),VI,44863,,,,21100,18500,16200,13900,,,
-204,,,,,,,,,,,,,,
GLK 250 CDI BlueTEC 4MATIC 7G-TRONIC PLUS,5,150  (204),VI,46856,,,,22150,19250,16850,14500,,,
-204,,,,,,,,,,,,,,
GLK 350 CDI 4MATIC 7G-TRONIC (204),5,195  (265),VI,51468,,,,24450,21200,18600,15950,,,
GL 350 CDI BlueTEC 4MATIC 7G-TRONIC (X164),5,155  (211),VII,76398,,,,,,27450,23850,,,
GL 350 CDI BlueEFFICIENCY 4MATIC 7G-TRONIC,5,195  (265),VII,75684,,,,,,27150,23800,,,
(X164),,,,,,,,,,,,,,
GL 400 4MATIC 7G-TRONIC PLUS (X166),5,245  (333),VI,76160,,,,38600,33900,,,,,
GL 500 4MATIC 7G-TRONIC PLUS (X166),5,320  (435),VI,95974,,,,,41000,37050,32650,,,
GL 350 CDI BlueTEC 4MATIC 7G-TRONIC PLUS,5,190  (258),VII,74286,,,,37100,33150,29550,25750,,,
(X166),,,,,,,,,,,,,,
GL 63 AMG SPEEDSHIFT PLUS 7G-TRONIC (X166),5,410  (557),VI,131852,,,,,51200,46000,41000,,,
AMG,,,,,,,,,,,,,,
GLS 400 4MATIC 9G-TRONIC (X166),5,245  (333),VI,81610,56000,50950,45150,40050,,,,,,
GLS 500 4MATIC 9G-TRONIC (X166),5,335  (455),VI,102227,66200,,,,,,,,,
GLS 350 d 4MATIC 9G-TRONIC (X166),5,190  (258),VII,79736,52600,47750,43550,38550,,,,,,
GLS 63 AMG SPEEDSHIFT PLUS 7G-TRONIC,5,430  (585),VI,140242,86550,79750,71950,63450,,,,,,
(X166) AMG,,,,,,,,,,,,,,
ML 350 4MATIC 7G-TRONIC PLUS (166),5,225  (306),VI,58191,,,,,26300,24100,21450,,,
ML 400 4MATIC 7G-TRONIC PLUS (166),5,245  (333),VI,60214,,,,30400,27250,,,,,
ML 500 4MATIC 7G-TRONIC PLUS (166),5,300  (408),VI,76220,,,,,32150,28350,25100,,,
ML 250 BlueTEC 4MATIC 7G-TRONIC PLUS (166),5,150  (204),VII,56228,,,,26050,23500,21550,19350,,,
ML 350 BlueTEC 4MATIC 7G-TRONIC PLUS (166),5,190  (258),VII,60036,,,,28450,24450,22600,20700,,,
ML 63 AMG 4MATIC SPEEDSHIFT PLUS 7G-,5,386  (525),VI,110254,,,,,40100,35800,31850,,,
TRONIC (166) AMG,,,,,,,,,,,,,,
Maybach S 500 4MATIC 9G-TRONIC (222),4,335  (455),VII,138576,,69200,64500,58300,,,,,,
Maybach S 500 9G-TRONIC (222),4,335  (455),VII,134768,,67300,62700,56700,47500,,,,,
Maybach S 560 4MATIC 9G-TRONIC (222),4,345  (469),VII,144639,89700,82950,,,,,,,,
Maybach S 560 9G-TRONIC (222),4,345  (469),VII,140652,87250,80750,,,,,,,,
Maybach S 600 7G-TRONIC PLUS (222),4,390  (530),VII,188556,,85950,78550,72500,63050,,,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 91 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
Mercedes,,,,,,,,,,,,,,
Maybach S 650 7G-TRONIC PLUS (222),4,463  (630),VII,201818,123150,107800,,,,,,,,
S 400 Coupé 4MATIC 7G-TRONIC PLUS (217),2,270  (367),VI,100561,65200,59450,54150,49300,,,,,,
S 450 Coupé 4MATIC 9G-TRONIC (217),2,270  (367),VI,102757,69600,,,,,,,,,
S 500 Coupé 4MATIC 7G-TRONIC PLUS (217),2,335  (455),VI,128823,74500,67200,62500,56700,52000,,,,,
S 500 Coupé 9G-TRONIC (217),2,335  (455),VI,125015,72300,65200,60600,55000,50450,,,,,
S 560 Coupé 4MATIC 9G-TRONIC (217),2,345  (469),VI,132923,84900,,,,,,,,,
S 560 Coupé 9G-TRONIC (217),2,345  (469),VI,127943,82000,75150,,,,,,,,
S 500 Cabriolet 9G-TRONIC (217),2,335  (455),VI,140545,80350,73200,68150,61950,,,,,,
S 560 Cabriolet 9G-TRONIC (217),2,345  (469),VI,143472,88800,81800,,,,,,,,
S 63 AMG Coupé 4MATIC SPEEDSHIFT MCT (217),2,430  (585),VI,174662,101800,90050,80200,74350,67300,,,,,
AMG,,,,,,,,,,,,,,
S 63 AMG Coupé SPEEDSHIFT MCT (217) AMG,2,430  (585),VI,175436,102250,90450,80600,74700,67600,,,,,
S 63 AMG Coupé 4MATIC+ SPEEDSHIFT MCT 9G-,2,450  (612),VI,177310,122050,107900,,,,,,,,
TRONIC (217) AMG,,,,,,,,,,,,,,
S 65 AMG Coupé SPEEDSHIFT PLUS (217) AMG,2,463  (630),VI,248085,143350,128000,110050,98250,89500,,,,,
S 65 AMG Coupé SPEEDSHIFT PLUS 7G-TRONIC,2,463  (630),VI,249305,151050,138600,,,,,,,,
(217) AMG,,,,,,,,,,,,,,
S 63 AMG Cabriolet 4MATIC SPEEDSHIFT MCT,2,430  (585),VI,190013,114700,102950,94650,85000,,,,,,
(217) AMG,,,,,,,,,,,,,,
S 63 AMG Cabriolet 4MATIC+ SPEEDSHIFT MCT 9G- 2,,450  (612),VI,192721,127550,112750,,,,,,,,
TRONIC (217) AMG,,,,,,,,,,,,,,
S 65 AMG Cabriolet SPEEDSHIFT Plus (217) AMG,2,463  (630),VI,256177,152750,136400,120800,,,,,,,
S 65 AMG Cabriolet SPEEDSHIFT PLUS 7G-TRONIC 2,,463  (630),VI,257457,162050,144700,,,,,,,,
(217) AMG,,,,,,,,,,,,,,
S 400 HYBRID 7G-TRONIC Sport (221),4,220  (299),VII,87287,,,,,,21350,19150,,,
S 350 BlueEFFICIENCY 4MATIC 7G-TRONIC PLUS,4,225  (306),VII,83003,,,,,,20850,18700,,,
-221,,,,,,,,,,,,,,
S 350 BlueEFFICIENCY 7G-TRONIC PLUS (221),4,225  (306),VII,79195,,,,,,19850,17800,,,
S 500 BlueEFFICIENCY 4MATIC 7G-TRONIC PLUS,4,320  (435),VII,103471,,,,,,25750,22900,,,
-221,,,,,,,,,,,,,,
S 500 BlueEFFICIENCY 7G-TRONIC PLUS (221),4,320  (435),VII,99663,,,,,,25550,22700,,,
S 350 BlueTEC 4MATIC 7G-TRONIC PLUS (221),4,190  (258),VII,80325,,,,,,22200,19500,,,
S 63 AMG SPEEDSHIFT MCT (221) AMG,4,400  (544),VII,145061,,,,,,34450,29950,,,
S 65 AMG SPEEDSHIFT Automatik lang (221) AMG,4,463  (630),VII,230384,,,,,,58050,50550,,,
S 400 4MATIC 7G-TRONIC PLUS (222),4,245  (333),VII,90797,,50750,44250,39600,,,,,,
S 450 9G-TRONIC (222),4,286  (388),VII,93385,57750,51750,,,,,,,,
S 500 4MATIC 7G-TRONIC PLUS (222),4,335  (455),VII,111027,,53400,49300,44550,38100,32850,,,,
S 500 7G-TRONIC PLUS (222),4,335  (455),VII,107219,,51500,47500,42900,36700,31700,,,,
S 500 9G-TRONIC (222),4,336  (457),VII,103512,61600,56100,,,,,,,,
S 560 4MATIC 9G-TRONIC (222),4,345  (469),VII,115091,66600,61000,,,,,,,,
S 560 9G-TRONIC (222),4,345  (469),VII,111104,64300,58950,,,,,,,,
S 600 lang 7G-TRONIC PLUS (222),4,390  (530),VII,165589,,72600,67000,61250,53800,,,,,
S 600 lang 7G-TRONIC PLUS (222),4,390  (530),VII,167201,93700,81150,,,,,,,,
S 350 BlueTEC 4MATIC 7G-TRONIC PLUS (222),4,190  (258),VII,85561,,,,37100,33950,30900,,,,
S 350 BlueTEC 7G-TRONIC PLUS (222),4,190  (258),VII,81753,,,,35400,32250,29300,,,,
S 350 d 4MATIC 7G-TRONIC PLUS (222),4,190  (258),VII,93415,,47500,44200,40300,,,,,,
S 350 d 7G-TRONIC PLUS (222),4,190  (258),VII,89607,,45550,42400,38650,,,,,,
S 350 d 4MATIC 9G-TRONIC (222),4,210  (286),VII,89577,51150,47550,,,,,,,,
S 350 d 9G-TRONIC (222),4,210  (286),VII,85769,49000,45500,,,,,,,,
S 400 d 4MATIC 9G-TRONIC (222),4,250  (340),VII,94337,58300,53700,,,,,,,,
S 400 d 9G-TRONIC (222),4,250  (340),VII,90529,55950,51500,,,,,,,,
S 300 BlueTEC HYBRID 7G-TRONIC PLUS (222),4,170  (231),VII,81753,,,,34500,29950,,,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 92 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
Mercedes,,,,,,,,,,,,,,
S 300 h 7G-TRONIC PLUS (222),4,170  (231),VII,82229,,40250,37550,34500,,,,,,
S 400 h 7G-TRONIC PLUS (222),4,225  (306),VII,87644,,,42350,38650,,,,,,
S 400 HYBRID 7G-TRONIC PLUS (222),4,225  (306),VII,87168,,,,38650,32750,27900,,,,
S 500 e lang 7G-TRONIC PLUS (222),4,325  (442),VI,110254,,60850,54650,49300,,,,,,
S 500 PLUG-IN HYBRID lang 7G-TRONIC PLUS,4,325  (442),VI,109778,,,,49300,43400,,,,,
S 560 e lang 9G-TRONIC (222),4,350  (476),VI,118137,75800,,,,,,,,,
S 63 AMG lang 4MATIC SPEEDSHIFT MCT (222),4,430  (585),VII,155295,,,,64600,56200,49700,,,,
AMG,,,,,,,,,,,,,,
S 63 AMG SPEEDSHIFT MCT (222) AMG,4,430  (585),VII,152023,,,,63200,55100,48750,,,,
S 63 AMG lang 4MATIC+ 9G-TRONIC (222) AMG,4,450  (612),VII,161245,103950,96200,,,,,,,,
S 65 AMG lang SPEEDSHIFT PLUS (222) AMG,4,463  (630),VII,236215,,107850,93400,81550,,,,,,
S 65 AMG lang AMG SPEEDSHIFT PLUS 7G-,4,463  (630),VII,238595,133450,115700,,,,,,,,
TRONIC (222) AMG,,,,,,,,,,,,,,
SLC 180  (172),2,115  (156),IV,35349,23900,21150,19650,,,,,,,
SLC 200  (172),2,135  (184),IV,40228,25400,22900,21300,,,,,,,
SLC 300 9G-TRONIC (172),2,180  (245),IV,46803,30500,27450,25600,,,,,,,
SLC 250 d 9G-TRONIC (172),2,150  (204),V,43947,,23950,22050,,,,,,,
SLC 43 AMG 9G-TRONIC (172) AMG,2,270  (367),IV,60036,38550,35950,32800,,,,,,,
SLC 43 AMG 9G-TRONIC (172) AMG,2,287  (390),IV,61059,38900,,,,,,,,,
SLK 200  (172),2,135  (184),IV,39359,,,,19000,17600,16150,14950,,,
SLK 200  (172),2,135  (184),IV,39657,,,20400,19150,,,,,,
SLK 250  (172),2,150  (204),IV,42513,,,,19850,18600,17450,16300,,,
SLK 300 9G-TRONIC (172),2,180  (245),IV,46053,,,24200,22700,,,,,,
SLK 350 7G-TRONIC PLUS (172),2,225  (306),IV,53104,,,,24600,22950,21550,20150,,,
SLK 250 CDI  (172),2,150  (204),V,40073,,,,17850,16550,15300,14350,,,
SLK 250 d 9G-TRONIC (172),2,150  (204),V,43376,,,21200,19150,,,,,,
SLK 55 AMG SPEEDSHIFT PLUS (172) AMG,2,310  (422),IV,73542,,,,,33500,30800,28800,,,
SL 400 9G-TRONIC (231),2,270  (367),V,99341,62100,56300,51300,,,,,,,
SL 500 9G-TRONIC (231),2,335  (455),V,123141,74050,66800,59650,,,,,,,
SL 63 AMG SPEEDSHIFT MCT (231) AMG,2,420  (571),V,163030,96250,,,,,,,,,
SL 63 AMG SPEEDSHIFT MCT (231) AMG,2,430  (585),V,161959,96050,88450,76950,,,,,,,
SL 65 AMG SPEEDSHIFT PLUS (231) AMG,2,463  (630),V,240202,148750,135450,123650,,,,,,,
SL 350 7G-TRONIC PLUS (231),2,225  (306),V,95855,,,,,38000,34050,30750,,,
SL 400 7G-TRONIC PLUS (231),2,245  (333),V,97759,,,46750,41250,38550,,,,,
SL 500 7G-TRONIC PLUS (231),2,320  (435),V,120012,,,,,43800,39850,36050,,,
SL 500 7G-TRONIC PLUS (231),2,335  (455),V,120964,,,,49400,44000,,,,,
SL 63 AMG SPEEDSHIFT MCT (231) AMG,2,395  (537),V,160591,,,,,59500,53350,47550,,,
SL 63 AMG SPEEDSHIFT MCT (231) AMG,2,430  (585),V,161543,,,72950,66900,,,,,,
SL 65 AMG SPEEDSHIFT PLUS (231) AMG,2,463  (630),V,238833,,,,,89400,79700,70850,,,
SLS AMG Coupé SPEEDSHIFT DCT (197),2,420  (571),IV,186830,,,,,164350,150000,140050,,,
SLS AMG GT Coupé SPEEDSHIFT DCT (197),2,435  (591),IV,204680,,,,,176400,161000,160500,,,
SLS AMG Roadster SPEEDSHIFT DCT (197),2,420  (571),IV,195160,,,,,153250,139850,130550,,,
SLS AMG GT Roadster SPEEDSHIFT DCT (197),2,435  (591),IV,213010,,,,,165500,151050,157000,,,
"Sprinter Kombi 211 CDI Crew kurz 3,19t (906)",4,84  (114),VII,33487,25250,22550,20100,,,,,,,
"Sprinter Kombi 311 CDI Crew kurz 3,5t (906)",4,84  (114),VII,34915,26250,23450,20950,,,,,,,
"Sprinter Kombi 213 CDI Crew kurz 3,19t (906)",4,95  (129),VII,30928,,,19100,16450,14500,12650,,,,
"Sprinter Kombi 313 CDI Crew kurz 3,5t (906)",4,95  (129),VII,35284,,,21200,18250,16150,14150,,,,
"Sprinter Kombi 214 CDI Crew kurz 3,19t (906)",4,105  (143),VII,35652,26850,24000,21400,,,,,,,
"Sprinter Kombi 314 CDI Crew kurz 3,5t (906)",4,105  (143),VII,37080,27900,24900,22250,,,,,,,
"Sprinter Kombi 216 CDI kurz 3,19t (906)",4,120  (163),VII,39389,,,18200,15950,14200,12550,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",,,,,,,,,,,Seite: 93 von 171,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
Mercedes,,,,,,,,,,,,,,
"Sprinter Kombi 316 CDI kurz 3,5t (906)",4,120  (163),VII,46529,,,21500,18800,16800,14850,,,,
"Sprinter Kombi 319 CDI kurz 3,5t (906)",4,140  (190),VII,52907,30650,27350,24450,21250,18750,16550,,,,
"Sprinter Kombi 316 NGT mittel 3,5t  (906)",4,115  (156),VI,51456,,26600,23750,20700,18300,16150,,,,
"Sprinter Tourer 211 CDI Crew 3,19t (907)",4,84  (114),VII,34224,25100,,,,,,,,,
"Sprinter Tourer 311 CDI 3,5t (907)",4,84  (114),VII,48350,29050,,,,,,,,,
"Sprinter Tourer 214 CDI Crew 3,19t (907)",4,105  (143),VII,36438,26700,,,,,,,,,
"Sprinter Tourer 314 CDI 3,5t (907)",4,105  (143),VII,50563,30400,,,,,,,,,
"Sprinter Tourer 216 CDI 3,19t (907)",4,120  (163),VII,46636,28000,,,,,,,,,
"Sprinter Tourer 316 CDI 3,5t (907)",4,120  (163),VII,51301,30800,,,,,,,,,
"Sprinter Tourer 319 CDI 3,5t (907)",4,140  (190),VII,55371,33250,,,,,,,,,
Viano Fun 3.5 kompakt Automatik (639),4,190  (258),VI,50444,,,,,22500,20000,17800,,,
Viano 3.5 Trend Automatik kompakt (639),4,190  (258),VI,49564,,,,,22150,19650,17500,,,
Viano Fun 2.0 CDI kompakt (639),4,100  (136),VII,41162,,,,,18350,16300,14500,,,
Viano Fun 2.0 CDI kompakt 4MATIC (639),4,100  (136),VII,47323,,,,,21100,18750,16650,,,
Viano 2.0 CDI Trend kompakt (639),4,100  (136),VII,40293,,,,,17950,15950,14200,,,
Viano 2.0 CDI Trend kompakt 4MATIC (639),4,100  (136),VII,46454,,,,,20700,18400,16350,,,
Viano Fun 2.2 CDI kompakt (639),4,120  (163),VII,42197,,,,,18800,16700,14850,,,
Viano Fun 2.2 CDI kompakt 4MATIC (639),4,120  (163),VII,48358,,,,,21550,19150,17050,,,
Viano 2.2 CDI Trend kompakt (639),4,120  (163),VII,41317,,,,,18400,16400,14550,,,
Viano 2.2 CDI Trend kompakt 4MATIC (639),4,120  (163),VII,47477,,,,,21150,18800,16750,,,
Viano Fun 3.0 CDI kompakt Automatik (639),4,165  (224),VII,47660,,,,,21250,18900,16800,,,
Viano 3.0 CDI Trend kompakt Automatik (639),4,165  (224),VII,46779,,,,,20850,18550,16500,,,
Viano Marco Polo Westfalia 3.5 lang Automatik (639),4,190  (258),VI,60452,,,,,35800,32550,29400,,,
Viano Marco Polo Westfalia 2.0 CDI lang (639),4,100  (136),VII,51027,,,,,30200,27450,24850,,,
Viano Marco Polo Westfalia 2.2 CDI lang (639),4,120  (163),VII,52098,,,,,30850,28050,25350,,,
Viano Marco Polo Westfalia 3.0 CDI lang Automatik,4,165  (224),VII,57215,,,,,33900,30800,27850,,,
-639,,,,,,,,,,,,,,
Marco Polo Activity 160 CDI  (447),4,65  (88),VII,38961,,,,20850,18900,,,,,
Marco Polo Activity 180 CDI  (447),4,84  (114),VII,40746,,,,21800,19750,,,,,
Marco Polo Activity 200 CDI  (447),4,100  (136),VII,43292,,,,22900,20800,,,,,
Marco Polo Activity 220 CDI  (447),4,120  (163),VII,44566,,,,23600,21400,,,,,
Vito Tourer 109 CDI BlueTEC kompakt Crew (447),4,65  (88),VI,23788,18150,16150,15000,,,,,,,
Vito Tourer 109 CDI kompakt Base (447),4,65  (88),VI,32071,17850,15900,14750,13000,,,,,,
Vito Tourer 111 CDI BlueTEC kompakt Crew (447),4,84  (114),VI,25276,19950,17800,16500,,,,,,,
Vito Tourer 111 CDI kompakt Base (447),4,84  (114),VI,33296,19700,17550,16250,14350,,,,,,
Vito Tourer 114 CDI BlueTEC kompakt Base (447),4,100  (136),VI,36581,20850,18550,17050,15050,,,,,,
Vito Tourer 114 CDI BlueTEC kompakt Base 4x4 7G-,4,100  (136),VI,43272,25250,22500,20650,18250,,,,,,
TRONIC PLUS (447),,,,,,,,,,,,,,
Vito Tourer 116 CDI BlueTEC kompakt Base (447),4,120  (163),VI,37902,21350,19050,17650,15450,,,,,,
Vito Tourer 116 CDI BlueTEC kompakt Base 4x4 7G-,4,120  (163),VI,44593,25750,22950,21300,18600,,,,,,
TRONIC PLUS (447),,,,,,,,,,,,,,
Vito Tourer 119 CDI BlueTEC kompakt Base 4x4 7G-,4,140  (190),VI,46608,26750,23600,21900,19900,,,,,,
TRONIC PLUS (447),,,,,,,,,,,,,,
Vito Tourer 119 CDI BlueTEC kompakt Base 7G-,4,140  (190),VI,42519,24450,21550,20000,18200,,,,,,
TRONIC PLUS (447),,,,,,,,,,,,,,
Vito Kombi 126 kompakt Automatik (639),4,190  (258),V,45982,,,,,15500,13300,12250,,,
Vito Mixto 126 kompakt Automatik (639),4,190  (258),V,43697,,,,,16900,14950,13150,,,
Vito Kombi 110 CDI kompakt Crew (639),4,70  (95),VI,26370,,,,,11450,10200,9225,,,
Vito Mixto 110 CDI kompakt (639),4,70  (95),VI,29643,,,,,11450,10100,8900,,,
Vito Kombi 113 CDI kompakt Crew (639),4,100  (136),VI,28346,,,,,12000,11100,10150,,,
Vito Mixto 113 CDI kompakt (639),4,100  (136),VI,32213,,,,,12450,11000,9650,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",,,,,,,,,,,Seite: 94 von 171,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
